net,length_um
rf\[7\]\[25\],68.54
_03745_,68.48
rf\[29\]\[1\],68.39
rf\[19\]\[28\],68.36
rf\[30\]\[30\],68.325
_03552_,68.24
_03497_,68.18
rf\[4\]\[3\],68.18
rf\[31\]\[26\],68.16
rf\[2\]\[23\],67.91
_03288_,67.88
_03360_,67.78
rf\[24\]\[5\],67.76
rf\[19\]\[22\],67.6
rf\[4\]\[12\],67.48
_04119_,67.46
clknet_1_1__leaf__04469_,67.46
_03358_,67.44
rf\[30\]\[7\],67.43
rf\[31\]\[15\],67.38
rf\[21\]\[29\],67.36
_04254_,67.29
rf\[23\]\[7\],67.22
rf\[5\]\[17\],67.22
rf\[17\]\[7\],67.12
rf\[4\]\[11\],67.08
rf\[12\]\[5\],67.06
rf\[26\]\[11\],66.95
_02051_,66.94
_04167_,66.94
clknet_1_0__leaf__04495_,66.92
rf\[28\]\[29\],66.88
rf\[25\]\[14\],66.85
_03741_,66.74
clknet_1_1__leaf__04497_,66.72
_03829_,66.64
_03874_,66.5
rf\[16\]\[27\],66.48
_03418_,66.45
clknet_1_1__leaf__04492_,66.4
rf\[16\]\[26\],66.34
rf\[30\]\[16\],66.325
_04465_,66.28
_03354_,66.26
rf\[14\]\[6\],66.24
rf\[24\]\[23\],66.16
clknet_1_0__leaf__04496_,66.12
_03400_,66.1
rf\[16\]\[23\],66.1
_04098_,66.06
clknet_1_1__leaf__04456_,65.98
rf\[20\]\[10\],65.84
clknet_1_1__leaf__04495_,65.78
rf\[22\]\[3\],65.665
rf\[23\]\[4\],65.66
_03343_,65.58
rf\[12\]\[9\],65.56
_04434_,65.5
rf\[25\]\[2\],65.44
_04265_,65.42
rf\[16\]\[12\],65.42
rf\[3\]\[12\],65.42
rf\[30\]\[15\],65.245
net23,65.24
clknet_1_0__leaf__04475_,65.2
_02364_,65.06
_03860_,65.06
_04331_,64.8
clknet_1_1__leaf__04502_,64.76
rf\[12\]\[3\],64.74
clknet_1_0__leaf__04484_,64.68
_03352_,64.66
rf\[21\]\[16\],64.56
clknet_1_0__leaf__04444_,64.44
rf\[26\]\[14\],64.32
_03529_,64.28
_02502_,64.23
rf\[29\]\[2\],64.1
rf\[4\]\[6\],64.06
rf\[7\]\[10\],63.98
_04363_,63.92
_04499_,63.86
_03479_,63.84
clknet_1_0__leaf__04494_,63.7
clknet_1_0__leaf__04485_,63.58
_03375_,63.4
rf\[7\]\[18\],63.4
clknet_1_1__leaf__04489_,63.02
clknet_1_1__leaf__04494_,62.96
rf\[19\]\[26\],62.9
_02950_,62.88
_03912_,62.8
_03280_,62.74
_03377_,62.7
rf\[25\]\[20\],62.7
rf\[8\]\[6\],62.64
rf\[15\]\[17\],62.6
rf\[16\]\[16\],62.58
rf\[17\]\[30\],62.52
rf\[25\]\[0\],62.5
rf\[8\]\[0\],62.5
clknet_1_1__leaf__04444_,62.5
rf\[0\]\[5\],62.48
_03386_,62.24
rf\[18\]\[7\],62.195
_04091_,62.16
_03980_,62.04
_03762_,61.99
clknet_1_1__leaf__04474_,61.92
