2023-05-06 11:59 | DONE   | sv_core    | matrix_config_104: Writing report...
2023-05-06 11:59 | SUCCESS| sv_core    | 
2023-05-06 11:59 | DONE   | sv_core    | matrix_config_105: Writing report...
2023-05-06 11:59 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:59 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:59 | START  | sv_core    | matrix_config_106
2023-05-06 11:59 | DONE   | sv_core    | Deleting run directory...
2023-05-06 11:59 | DONE   | sv_core    | Deleted run directory.
2023-05-06 11:59 | START  | sv_core    | matrix_config_107
2023-05-06 12:08 | SUCCESS| sv_core    | 
2023-05-06 12:08 | DONE   | sv_core    | matrix_config_106: Writing report...
2023-05-06 12:08 | SUCCESS| sv_core    | 
2023-05-06 12:08 | DONE   | sv_core    | matrix_config_107: Writing report...
2023-05-06 12:08 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:08 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:08 | START  | sv_core    | matrix_config_108
2023-05-06 12:09 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:09 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:09 | START  | sv_core    | matrix_config_109
2023-05-06 12:18 | SUCCESS| sv_core    | 
2023-05-06 12:18 | DONE   | sv_core    | matrix_config_108: Writing report...
2023-05-06 12:18 | SUCCESS| sv_core    | 
2023-05-06 12:18 | DONE   | sv_core    | matrix_config_109: Writing report...
2023-05-06 12:18 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:18 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:18 | START  | sv_core    | matrix_config_110
2023-05-06 12:18 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:18 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:18 | START  | sv_core    | matrix_config_111
2023-05-06 12:27 | SUCCESS| sv_core    | 
2023-05-06 12:27 | DONE   | sv_core    | matrix_config_110: Writing report...
2023-05-06 12:27 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:27 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:27 | START  | sv_core    | matrix_config_112
2023-05-06 12:27 | SUCCESS| sv_core    | 
2023-05-06 12:27 | DONE   | sv_core    | matrix_config_111: Writing report...
2023-05-06 12:27 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:27 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:27 | START  | sv_core    | matrix_config_113
2023-05-06 12:36 | SUCCESS| sv_core    | 
2023-05-06 12:36 | DONE   | sv_core    | matrix_config_112: Writing report...
2023-05-06 12:37 | SUCCESS| sv_core    | 
2023-05-06 12:37 | DONE   | sv_core    | matrix_config_113: Writing report...
2023-05-06 12:37 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:37 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:37 | START  | sv_core    | matrix_config_114
2023-05-06 12:37 | DONE   | sv_core    | Deleting run directory...
2023-05-06 12:37 | DONE   | sv_core    | Deleted run directory.
2023-05-06 12:37 | START  | sv_core    | matrix_config_115
2023-05-06 12:46 | SUCCESS| sv_core    | 
