net,length_um
i_decode_stage.decode_state_o\[66\],33.54
_0592_,33.51
_0773_,33.475
_0492_,33.34
_0333_,33.3
_1083_,33.28
_0737_,33.2
_0966_,33.04
i_mem_slice_stage.pre_data\[11\],33.025
_0893_,32.86
_1212_,32.86
_1720_,32.68
_1573_,32.63
_1225_,32.62
_0774_,32.58
_0506_,32.54
_1734_,32.54
_0621_,32.42
net73,32.42
_1802_,32.35
_2067_,32.34
_1003_,32.3
i_mem_slice_stage.mem_state_o\[9\],32.3
_1374_,32.08
_1555_,32.08
_1255_,31.94
net95,31.94
i_decode_stage.fetch_state_i\[53\],31.88
i_decode_stage.fetch_state_i\[13\],31.78
_0736_,31.72
i_decode_stage.decode_state_o\[29\],31.64
_1794_,31.6
_0811_,31.58
_0335_,31.44
_1194_,31.4
_0837_,31.38
_0982_,31.38
_1604_,31.28
_0598_,31.22
_0658_,31.14
i_exec_stage.exec_state_o\[2\],31.12
_1332_,31.095
_0968_,31.08
_1251_,31
_0965_,30.99
net14,30.99
_0970_,30.96
_1663_,30.96
_1644_,30.93
i_exec_stage.data_fwd_o\[11\],30.8
i_decode_stage.fetch_state_i\[8\],30.76
_1019_,30.72
i_mem_slice_stage.pre_data\[10\],30.685
_1926_,30.68
_1072_,30.66
_1288_,30.66
i_mem_slice_stage.mem_state_o\[21\],30.56
_0960_,30.5
_1413_,30.46
_0828_,30.42
i_decode_stage.fetch_state_i\[9\],30.42
i_decode_stage.fetch_state_i\[31\],30.4
_0332_,30.2
_1185_,30.2
i_decode_stage.reg_meta_o\[18\],30.2
_0880_,30.18
_2340_,30.02
_2145_,29.96
i_decode_stage.fetch_state_i\[19\],29.9
_1935_,29.84
i_decode_stage.fetch_state_i\[37\],29.82
_0678_,29.7
i_mem_slice_stage.mem_state_o\[5\],29.66
_0854_,29.6
_0985_,29.58
clknet_leaf_13_clk_i,29.56
i_mem_slice_stage.pre_data\[21\],29.52
i_decode_stage.decode_state_o\[3\],29.5
net9,29.42
_1563_,29.4
_2028_,29.375
_2041_,29.24
net102,29.24
_0929_,29.2
_0577_,29.16
i_mem_slice_stage.mem_state_o\[11\],29.16
_1409_,29.08
_0405_,29.07
i_exec_stage.data_fwd_o\[33\],29.04
i_mem_slice_stage.pre_data\[7\],28.94
_0800_,28.88
_1152_,28.675
i_decode_stage.fetch_state_i\[62\],28.66
net189,28.62
net110,28.5
_1540_,28.4
i_decode_stage.reg_meta_o\[20\],28.32
_0898_,28.29
_0832_,28.18
_0916_,28.02
_1923_,27.94
i_mem_slice_stage.mem_state_o\[4\],27.94
_1864_,27.9
_1943_,27.9
_2093_,27.8
net100,27.8
_1736_,27.7
_0926_,27.68
_0913_,27.66
